at,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
03/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000364678,0.007892151,0.038000559,0.065759075,0.076174727,0.098457975,0.115840845,0.100360001,0.101969461,0.087178965,0.114222923,0.146570233,0.164340221,0.143247892,0.133911352,0.112010858,0.070313011,0.030790923,0.003897901,0.000138183,0,0,0,0,0,0,0,0,0,0,0,0
04/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52E-05,0.004806,0.049285126,0.177878599,0.261596776,0.315956131,0.427200378,0.422646817,0.390920671,0.376508058,0.300824608,0.306038796,0.312139926,0.262978956,0.150025287,0.074727368,0.038126189,0.01388092,0.001272653,4.37E-05,0,0,0,0,0,0,0,0,0,0,0,0
05/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353842,0.003296642,0.002638299,0.010559429,0.02776405,0.029880138,0.042996044,0.055174339,0.078533021,0.097510431,0.094190171,0.082123312,0.116335111,0.068709657,0.04560034,0.031908665,0.023594458,0.007001571,0.001242622,4.70E-05,0,0,0,0,0,0,0,0,0,0,0,0
06/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77E-06,0.001415977,0.008725523,0.014426195,0.022995706,0.033805476,0.03702635,0.039467539,0.037036061,0.0393594,0.053000991,0.053920608,0.042729582,0.036932197,0.030096827,0.012076763,0.003057375,0.000430147,4.54E-06,3.06E-06,0,0,0,0,0,0,0,0,0,0,0,0
07/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102691,0.015824054,0.096108638,0.224202075,0.345688296,0.385719676,0.407916984,0.470554651,0.496555312,0.479932804,0.459631835,0.443996449,0.441669113,0.400030652,0.329807779,0.239055338,0.055048615,0.01867748,0.001698761,3.21E-05,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000966145,0.021071688,0.042042374,0.182956059,0.329771515,0.398046378,0.353051487,0.306956412,0.413485726,0.39386824,0.238711873,0.22922222,0.192943814,0.091932118,0.044512454,0.047194702,0.056245369,0.023015361,0.001872968,0.000145724,1.54E-06,0,0,0,0,0,0,0,0,0,0,0
09/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000511699,0.007423873,0.034411756,0.061075237,0.093005884,0.181661576,0.181727719,0.193667902,0.229539194,0.213667801,0.234705825,0.267090348,0.342731237,0.332054712,0.285741087,0.213842169,0.134581232,0.096203562,0.025598868,0.000441561,1.25E-05,0,0,0,0,0,0,0,0,0,0,0
10/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384528,0.012992097,0.072562998,0.11822458,0.174684586,0.22955795,0.285012705,0.309579278,0.321774755,0.283338274,0.265561346,0.243274748,0.232493293,0.299925669,0.29679071,0.206051403,0.117426789,0.067958266,0.021724367,0.00031112,2.02E-05,0,0,0,0,0,0,0,0,0,0,0
11/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328419,0.004711475,0.021276585,0.05370912,0.121907568,0.125306542,0.221596247,0.462140626,0.634806956,0.605513732,0.550601108,0.477530581,0.451607491,0.372240388,0.27294724,0.140262304,0.036300863,0.000577662,2.97E-05,2.96E-06,0,0,0,0,0,0,0,0,0,0,0
12/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144504,0.003656088,0.008673233,0.010148406,0.012389154,0.017689639,0.022487598,0.01796536,0.012340215,0.016477248,0.022869764,0.048558109,0.161372434,0.221071365,0.208524628,0.143654214,0.067639597,0.048248733,0.014528873,0.000234301,1.11E-05,0,0,0,0,0,0,0,0,0,0,0
