Group admin,School name,MAT,Diocese,Local Authority,School URL,MAT/LA group,MAT/LA group URL,Project group,Project URL
Ellie,Torriano Primary School,The Brecknock and Torriano Schools Federation,,,https://energysparks.uk/schools/torriano-primary-school,The Brecknock and Torriano Schools Federation,https://energysparks.uk/admin/school_groups/the-brecknock-and-torriano-schools-federation,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Torridon Primary School,,,,https://energysparks.uk/schools/torridon-primary-school,Lewisham,https://energysparks.uk/admin/school_groups/lewisham-60dd7682-4351-4691-8a61-c06d49cd9d80,RAFT - Lewisham group,https://energysparks.uk/admin/school_groups/raft-lewisham-group
Ellie,Tudor Grange Primary Academy Meon Vale,TUDOR GRANGE ACADEMIES TRUST,,,https://energysparks.uk/schools/tudor-grange-primary-academy-meon-vale,TUDOR GRANGE ACADEMIES TRUST,https://energysparks.uk/admin/school_groups/tudor-grange-academies-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Twin Oaks Primary School,,,,https://energysparks.uk/schools/twin-oaks-primary-school,Lewisham,https://energysparks.uk/admin/school_groups/lewisham-60dd7682-4351-4691-8a61-c06d49cd9d80,RAFT - Lewisham group,https://energysparks.uk/admin/school_groups/raft-lewisham-group
Ellie,Village Infants' School,,,,https://energysparks.uk/schools/village-infants-school,Barking and Dagenham,https://energysparks.uk/admin/school_groups/barking-and-dagenham,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Vittoria Primary School,,,,https://energysparks.uk/schools/vittoria-primary-school,Islington,https://energysparks.uk/admin/school_groups/islington,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Watergate School,Co-op Brent Knoll and Watergate Co-operative Trust,,,https://energysparks.uk/schools/watergate-school,Co-op Brent Knoll and Watergate Co-operative Trust,https://energysparks.uk/admin/school_groups/co-op-brent-knoll-and-watergate-co-operative-trust,RAFT - Lewisham group,https://energysparks.uk/admin/school_groups/raft-lewisham-group
Ellie,Wessex Gardens Primary School,,,,https://energysparks.uk/schools/wessex-gardens-primary-school,Barnet,https://energysparks.uk/admin/school_groups/barnet,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,West Grove Primary School,,,,https://energysparks.uk/schools/west-grove-primary-school,Enfield,https://energysparks.uk/admin/school_groups/enfield,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,William Bellamy Primary School,,,,https://energysparks.uk/schools/william-bellamy-primary-school,Barking and Dagenham,https://energysparks.uk/admin/school_groups/barking-and-dagenham,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Willowbrook Mead Primary Academy,The Mead Educational Trust,,,Link not sent out yet,The Mead Educational Trust,https://energysparks.uk/admin/school_groups/the-mead-educational-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Woodloes Primary School,COMMUNITY ACADEMIES TRUST,,,Account not set up yet,COMMUNITY ACADEMIES TRUST,https://energysparks.uk/admin/school_groups/community-academies-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Woodmansterne School and Sixth Form,WCL Federation,,,https://energysparks.uk/schools/woodmansterne-school-and-sixth-form,WCL Federation,https://energysparks.uk/admin/school_groups/wcl-federation,RAFT - Lambeth group,https://energysparks.uk/admin/school_groups/raft-lambeth-group
Stacie,Cockburn School,Cockburn Multi Academy Trust,,Leeds,https://energysparks.uk/schools/cockburn-school,Cockburn Multi Academy Trust,https://energysparks.uk/admin/school_groups/cockburn-multi-academy-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Stacie,Wyvern Academy,Consilium Academies,,Darlington,https://energysparks.uk/schools/wyvern-academy,Consilium Academies,https://energysparks.uk/admin/school_groups/consilium-academies,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Stacie,Lees Brook Academy,Archway Learning Trust,,,,Archway Learning Trust,https://energysparks.uk/admin/school_groups/archway-learning-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Stacie,Wolverley CE Secondary School and Sixth Form,n/a,,,https://energysparks.uk/schools/wolverley-cofe-secondary-school,Worcestershire,https://energysparks.uk/admin/school_groups/worcestershire,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Stacie,Ormiston Sandwell Community Academy,Ormiston Academies Trust,,,,Ormiston Academies Trust,https://energysparks.uk/admin/school_groups/ormiston-academies-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Stacie,Ormiston SWB Academy,Ormiston Academies Trust,,,https://energysparks.uk/schools/ormiston-swb-academy,Ormiston Academies Trust,https://energysparks.uk/admin/school_groups/ormiston-academies-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Stacie,"Trinity Academy, Thorne",Emmanuel Schools Foundation,,,https://energysparks.uk/schools/trinity-academy-thorne,Emmanuel Schools Foundation,https://energysparks.uk/admin/school_groups/emmanuel-schools-foundation,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Stacie,Ormiston Maritime Academy,Ormiston Academies Trust,,,https://energysparks.uk/schools/ormiston-maritime-academy,Ormiston Academies Trust,https://energysparks.uk/admin/school_groups/ormiston-academies-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Stacie,Bede Academy,Emmanuel Schools Foundation,,,,Emmanuel Schools Foundation,https://energysparks.uk/admin/school_groups/emmanuel-schools-foundation,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Stacie,The Blyth Academy,Northern Education Trust,,,https://energysparks.uk/schools/the-blyth-academy,Northern Education Trust,https://energysparks.uk/admin/school_groups/northern-education-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
